precontext,target_sentence,postcontext,substitutions,replace,replace_proc
"Somehow, Tasha and I began to argue the worth of Solevgrad jazz, as inconsequential a topic as I can imagine.","She had studied it in school, so she thought herself as an expert.","I once had a neighbor who played it constantly, loudly, and badly, so I thought I knew it better.","{'studied': 'attend;examine;excel;learn;practice;research;take', 'school': 'academy;class;college;education;institute;university', 'thought': 'assume;believe;consider;flatter;flaunt;imagine;view', 'expert': 'adroit;authority;capable;genius;guru;master;phenom;pro;professional;specialist'}","{'studied': 'practiced;played;study;loved;learned;studying;maj', 'school': 'college;class;high;preschool;schools;kindergarten', 'thought': 'considered;consider;reckoned;imagined;supposed;count;billed', 'expert': 'authority;amateur;experts;expertise;pro;ace;instructor;student;master;insider'}","{'studied': 'practiced;played;study;loved;learned;studying;maj', 'school': 'college;class;high;preschool;school;kindergarten', 'thought': 'considered;consider;reckoned;imagined;supposed;count;billed', 'expert': 'authority;amateur;expert;expertise;pro;ace;instructor;student;master;insider'}"
"Someone opened it a crack, then ushered us in.","Inside, the building opened up.","The ceiling was high and wooden, and I could see part of a DJ’s booth down the hall.","{'building': 'area;expanse;facility;place;room;space;structure;surroundings;unit', 'opened': 'clear;enlarge;spread;widen', 'up': 'open;out;wide'}","{'building': 'ceiling;door;roof;wall;window;doors;room;tent;dome', 'opened': 'broke;osed;open;sealed', 'up': 'ups;Up;h'}","{'building': 'ceiling;door;roof;wall;window;door;room;tent;dome', 'opened': 'broke;osed;open;sealed', 'up': 'ups;up;h'}"
Someone standing just in the lip of an alley glared at me with gleaming eyes.,"“Okay, this is the spot, said my driver, pulling over.",He parked and got out.,"{'spot': 'area;house;location;place;unit', 'said': 'announce;mention;remark;state', 'driver': 'chauffer;companion;escort;operator', 'pulling': 'maneuver;move;stop'}","{'spot': 'place;right;car;spots;way', 'said': 'say;says;Ryan;said', 'driver': 'dad;friend;brother;cab', 'pulling': 'pulled;leaned;leaning'}","{'spot': 'place;right;car;spot;way', 'said': 'say;say;ryan;said', 'driver': 'dad;friend;brother;cab', 'pulling': 'pulled;leaned;leaning'}"
"Someone woke him to say Gen. Hap Arnold, chief of the Army Air Forcesin Washington, was on the phone and asking for him.","Arnold told Karnes, Tibbets is going to be landing in three to four hours, and I want to give him the Distinguished Service Cross, and it is your job to write up the explanation.","Tibbets is going to be landing in three to four hours, and I want to give him the Distinguished Service Cross, and it is your job to write up the explanation.","{'told': 'address;advise;describe to;inform;instruct;notify;report to;update', 'going': 'about;bind;come;destine;intend;schedule;sure', 'landing': 'alight;arrive;come;deplane;descend;ground;put down;return;touch down', 'hours': ""hour 's time;hour period"", 'want': 'aim;desire;intend;need;prefer;wish;would like', 'give': 'award;bestow;bestow upon;confer;grant;hand;present', 'job': 'assignment;designation;duty;mission;responsibility;task', 'write': 'author;compose;draft;inscribe;make;pen;script', 'explanation': 'account;briefing;citation;detail;display;excuse;exposition;information;justification;motivation;reason;reason why;reasoning'}","{'told': 'tell;informed;n;asked;notified;reminded;le;Che', 'going': 'going;supposed;scheduled;got;gonna;said;likely', 'landing': 'arriving;launching;coming;landed;crashing;land;sitting;leaving;flying', 'hours': 'minutes;hour', 'want': 'wants;wanted;mean;wish;promise;get;ask', 'give': 'gave;giving;gives;hand;gift;show;given', 'job': 'jobs;job;Job;duty;guess;thing', 'write': 'wrote;writing;make;written;draw;mark;script', 'explanation': 'explanations;.;justification;explaining;explain;reason;explanatory;confirmation;statement;story;announcement;description;citation'}","{'told': 'tell;informed;n;asked;notified;reminded;le;che', 'going': 'going;supposed;scheduled;got;gonna;said;likely', 'landing': 'arriving;launching;coming;landed;crashing;land;sitting;leaving;flying', 'hours': 'minute;hour', 'want': 'want;wanted;mean;wish;promise;get;ask', 'give': 'gave;giving;give;hand;gift;show;given', 'job': 'job;job;job;duty;guess;thing', 'write': 'wrote;writing;make;written;draw;mark;script', 'explanation': 'explanation;.;justification;explaining;explain;reason;explanatory;confirmation;statement;story;announcement;description;citation'}"
Something in his tone couldn’t be disbelieved.,“Tell me anyway.,“Tell me anyway.,"{'Tell': 'acquaint;apprise;clue;enlighten;explain to;fancy;humor;inform;speak to', 'anyway': 'anyhow;despite that;either way;in any case;in spite of it;nevertheless;nonetheless;regardless;still'}","{'Tell': 'tell;Call;Teach;For;Promise;Show;Catch;believe;Beat', 'anyway': 'em;otherwise;anything;sometime;soon;anyways;first;ye;.'}","{'Tell': 'tell;call;teach;for;promise;show;catch;believe;beat', 'anyway': 'em;otherwise;anything;sometime;soon;anyways;first;ye;.'}"
"Something with too many arms was manning the turntables above the crowd, which looked more impenetrable tonight than ever before.",Then I saw the bar on the other side of the crowd and knew where to start looking.,I tried to slip along the edge of the crowd.,"{'Then': 'after;afterwards;again;and;at that moment;at that time;hence;later;next;suddenly;thereafter;thereupon;ultimately', 'saw': 'glimpse;locate;notice;spot;spy;view', 'bar': 'area;bartender station;counter;drinking area;pub;service', 'other': 'alternative;different;distant;far;farther;further;new;opposite;remote', 'side': 'area;assistance;edge;end;half;help;part', 'crowd': 'gathering;group;horde;mass;mob;people;throng', 'knew': 'assume;grasp;notice;perceive;realize;recognize;think;understand', 'start': 'begin;commence;initiate;proceed', 'looking': 'explore;hunting;investigate;scavenge;search'}","{'Then': 'Than;When;Finally;Immediately;Until;Eventually;Thus;But;Once;Suddenly;So;Only;Soon', 'saw': 'spotted;heard;noticed;grabbed;saw;watched', 'bar': 'bars;conductor;band;stage;mic;club', 'other': 'opposite;far;right;wrong;left;cross;back;rear;opposing', 'side': 'end;corner;sides;edge;bank;half;side', 'crowd': 'crowds;audience;mob;music;congregation;band;fray', 'knew': 'know;wondered;decided;saw;remembered;thought;knowing;realized', 'start': 'begin;go;help;try', 'looking': 'look;without;walking;running;looked'}","{'Then': 'than;when;finally;immediately;until;eventually;thus;but;once;suddenly;so;only;soon', 'saw': 'spotted;heard;noticed;grabbed;saw;watched', 'bar': 'bar;conductor;band;stage;mic;club', 'other': 'opposite;far;right;wrong;left;cross;back;rear;opposing', 'side': 'end;corner;side;edge;bank;half;side', 'crowd': 'crowd;audience;mob;music;congregation;band;fray', 'knew': 'know;wondered;decided;saw;remembered;thought;knowing;realized', 'start': 'begin;go;help;try', 'looking': 'look;without;walking;running;looked'}"
"Sometimes they would let us little ones to seal a treasured toy or a last piece of birthday cake until we begged them for its release, usually a few hours after enclosing it.","When my father died, a year after my mother, my sisters and I cleaned out their apartment.",We found our baby shoes protected in stopboxes.,"{'father': 'dad;daddy;pa;padre;papa;pop', 'died': 'cease to exist;deceased;depart;expire;kick the bucket;leave this earth;pass;pass away;perish;subside;succumb', 'year': '@card@ month;few month;long while;short while;time;twelve month;while', 'mother': 'ma;mama;mom;mommy;mum;parent', 'sisters': 'family;kin;sibling', 'cleaned': 'clear;disinfect;empty;tidy', 'apartment': 'abode;condo;dig;dwelling;flat;home;loft;pad;rental;residence;studio'}","{'father': 'dad;parents;grandfather;grandmother;uncle;grandma', 'died': 'die;death;dies;passed;pass;disappeared;age;retired;dead;end;expired', 'year': 'years;decade;months;week;day;hour;century', 'mother': 'mum;parents;mom;dad;brother;sister', 'sisters': 'sister;siblings;cousins', 'cleaned': 'clean;cleared;emptied;cleaning', 'apartment': 'apartments;flat;bedroom;drawer;chests;room;closet;coffin;wardrobe;home;freezer'}","{'father': 'dad;parent;grandfather;grandmother;uncle;grandma', 'died': 'die;death;dy;passed;pas;disappeared;age;retired;dead;end;expired', 'year': 'year;decade;month;week;day;hour;century', 'mother': 'mum;parent;mom;dad;brother;sister', 'sisters': 'sister;sibling;cousin', 'cleaned': 'clean;cleared;emptied;cleaning', 'apartment': 'apartment;flat;bedroom;drawer;chest;room;closet;coffin;wardrobe;home;freezer'}"
"Sometimes wed get word that people were gathering under one of the bridges, and wed rush down to hit it before the cops broke it up.",Boston is a strange place at night.,"You wouldnt believe half of the shit Ive seen, even when I was straight.","{'strange': 'awkward;crazy;different;eerie;interesting;jarring;odd;unusual;weird', 'place': 'area;city;locality;location;sort;spot;town', 'night': 'dark;dusk;evening;nightfall;nightime;sundown;the evening time;twilight'}","{'strange': 'weird;funny;lonely;peculiar;eerie;special;curious;odd;scary', 'place': 'places;world;Place;spot;city;thing;lot', 'night': 'times;nighttime;dusk;dark;nights;last;midnight;best'}","{'strange': 'weird;funny;lonely;peculiar;eerie;special;curious;odd;scary', 'place': 'place;world;place;spot;city;thing;lot', 'night': 'time;nighttime;dusk;dark;night;last;midnight;best'}"
"Somewhere toward the center of the dance floor, I heard a howl that sent bitter winds under my clothing – for a second, I was back with my family in Russia, hiding from the cold.",Then I felt a tug on the back of my shirt and noticed that Amy was following me.,I gathered her under my arm.,"{'Then': 'afterwards;and;hence;next;subsequently;suddenly;thereupon', 'felt': 'detect;note;notice;sense', 'tug': 'jerk;pul;pull;tug;yank', 'back': 'backside;end;rear;reverse;tail', 'shirt': 'blouse;chemise;clothes;clothing;jacket;tee;top', 'noticed': 'detect;note;observe;realize;see;view', 'following': 'behind;chase;lag;pursue;stalk;trail'}","{'Then': 'When;Than;But;Soon;suddenly;Finally;Once', 'felt': 'feel;heard;saw;noticed', 'tug': 'pull;tap;hand;snap;pulled', 'back': 'home;trapped;reunited;thinking;stuck', 'shirt': 'collar;neck;jeans;seat;jacket;shoulder;pants', 'noticed': 'realized;saw;noticing;spotted;knew;notice', 'following': 'behind;followed;follows;beside;trailing;follow'}","{'Then': 'when;than;but;soon;suddenly;finally;once', 'felt': 'feel;heard;saw;noticed', 'tug': 'pull;tap;hand;snap;pulled', 'back': 'home;trapped;reunited;thinking;stuck', 'shirt': 'collar;neck;jean;seat;jacket;shoulder;pant', 'noticed': 'realized;saw;noticing;spotted;knew;notice', 'following': 'behind;followed;follows;beside;trailing;follow'}"
Sonoma duck breast a la Julia Child with crispy pancetta and sweet summer onions and naturally enriched duck sauce,"Six-layer pecan marjolaine with Julias coffee chocolate mousse, cocoa meringue, pecan crust and citrus sorbet",list>,"{'Six': '6;many;multi', 'layer': 'layer section;level;stack;tier', 'pecan': 'nut;pecan flavor;walnut', 'marjolaine': 'cake;dessert;marjoram;tart;treat', 'coffee': 'Java;cafe;cappuccino;coffee bean;cuppa;joe', 'chocolate': 'chocolate flavor;chocolaterie;coco;cocoa', 'mousse': 'cream;dessert;frappe;spume;whip;whip dessert', 'cocoa': 'chocolate;cocoa flavor', 'meringue': 'cream;dessert;fluff;frappe;mousse;whip', 'crust': 'base;bottom;crust layer;foundation;layer;pastry;shell', 'citrus': 'citrus flavor;citrusy;fruit;lemon;orange', 'sorbet': 'dessert;frappe;ice cream;mousse;sherbet'}","{'Six': 'Double;,;one', 'layer': 'layered;en;baked;creamy', 'pecan': 'pe;p;pie', 'marjolaine': 'mar;mac;par;cor;p', 'coffee': 'cream;cocoa;espresso;caramel;chocolate;mint', 'chocolate': 'caramel;cake;cream;cocoa', 'mousse': 'm;p;gl;r;sm;j', 'cocoa': 'chocolate;coconut', 'meringue': 'M;P;op;ine;ie;.', 'crust': 'pie;crumble;pastry;bread;spread;butter;pizza', 'citrus': 'orange;fig;pear;peach;apple', 'sorbet': 'sor;sher;tur;tor;por'}","{'Six': 'double;,;one', 'layer': 'layered;en;baked;creamy', 'pecan': 'pe;p;pie', 'marjolaine': 'mar;mac;par;cor;p', 'coffee': 'cream;cocoa;espresso;caramel;chocolate;mint', 'chocolate': 'caramel;cake;cream;cocoa', 'mousse': 'm;p;gl;r;sm;j', 'cocoa': 'chocolate;coconut', 'meringue': 'm;p;op;ine;ie;.', 'crust': 'pie;crumble;pastry;bread;spread;butter;pizza', 'citrus': 'orange;fig;pear;peach;apple', 'sorbet': 'sor;sher;tur;tor;por'}"
"Sony Columbia Acquisition Corp., formed for the Columbia deal, will formally take ownership of the movie studio later this month, a spokesman said.","Sony is paying $27 a share, or $3.55 billion, cash and is assuming $1.4 billion of long-term debt.",Still unresolved is Sonys effort to hire producers Jon Peters and Peter Guber to run the studio.,"{'paying': 'bestow;compensate;confer;furnish;give;owe;purchase;remit;shell out', 'share': 'piece;stock;unit', 'cash': 'in funding;money', 'assuming': 'accept;acquire;imply;predict;take;take on', 'long': 'distance;extended;far', 'term': 'distance;period;time', 'debt': 'deficit;fee;loan;loss;responsibility'}","{'paying': 'paid;offering;pay;accepting;seeking;asking;commanding;paying;pays', 'share': 'stock;million;billion', 'cash': 'says;,', 'assuming': 'absorbing;paying;taking;financing;raising;posting', 'long': 'longer;long;shorter', 'term': 'term;-;time', 'debt': 'bond;credit;loan;bonds;loans'}","{'paying': 'paid;offering;pay;accepting;seeking;asking;commanding;paying;pay', 'share': 'stock;million;billion', 'cash': 'say;,', 'assuming': 'absorbing;paying;taking;financing;raising;posting', 'long': 'longer;long;shorter', 'term': 'term;-;time', 'debt': 'bond;credit;loan;bond;loan'}"
"Sony Corp. completed its tender offer for Columbia Pictures Entertainment Inc., with Columbia shareholders tendering 99.3% of all common shares outstanding by the Tuesday deadline.","Sony Columbia Acquisition Corp., formed for the Columbia deal, will formally take ownership of the movie studio later this month, a spokesman said.","Sony is paying $27 a share, or $3.55 billion, cash and is assuming $1.4 billion of long-term debt.","{'formed': 'assemble;build;create;make', 'deal': 'action;agreement;aquisition;buyout;contract;lawsuit;merger;plan;transaction', 'formally': 'legally;officially;soon', 'take': 'assume;claim;gain;get;have;receive', 'ownership': 'control;hold;possession;proprietorship', 'movie': 'cinema;film;show;theater', 'studio': 'building;company;facility;lot;production company;set;theater', 'later': 'eventually;late;soon;towards the end of', 'month': 'July;period;term', 'spokesman': 'agent;chairman;employee;person;representative;speaker;spokesperson', 'said': 'agree;announce;imply;note;say;state'}","{'formed': 'forming;form;negotiating;founded', 'deal': 'sale;movie;acquisition;group;takeover;buy;unit;shareholders;process', 'formally': 'officially;likely;finally', 'take': 'assume;acquire;take;Take;retake;taken', 'ownership': 'control;leadership;possession;charge', 'movie': 'film;Columbia;Hollywood;Sony', 'studio': 'company;studios;producer;giant;group;maker;chain', 'later': 'late;sometime;later;earlier', 'month': 'week;year;evening', 'spokesman': 'spokeswoman;source;spokesperson;filing;statement;report;representative', 'said': 'The;reported;told;yesterday;said;Capt'}","{'formed': 'forming;form;negotiating;founded', 'deal': 'sale;movie;acquisition;group;takeover;buy;unit;shareholder;process', 'formally': 'officially;likely;finally', 'take': 'assume;acquire;take;take;retake;taken', 'ownership': 'control;leadership;possession;charge', 'movie': 'film;columbia;hollywood;sony', 'studio': 'company;studio;producer;giant;group;maker;chain', 'later': 'late;sometime;later;earlier', 'month': 'week;year;evening', 'spokesman': 'spokeswoman;source;spokesperson;filing;statement;report;representative', 'said': 'the;reported;told;yesterday;said;capt'}"
"Sony is paying $27 a share, or $3.55 billion, cash and is assuming $1.4 billion of long-term debt.",Still unresolved is Sonys effort to hire producers Jon Peters and Peter Guber to run the studio.,Sonys planned acquisition of Guber/Peters Entertainment Co. for $200 million is scheduled to close Monday.,"{'Still': 'also;constantly;continually;currently;remain;ultimately;yet', 'unresolved': 'a problem;confuse;mysterious;not resolve;pend;unanswered;unchanged;unsettled;unsolved', 'effort': 'attempt;bid;chance;desire;endeavor;want;wish', 'hire': 'acquire;convince;employ;get;pay;recruit', 'producers': 'composer;director;executive;filmmaker;mogul;movie maker', 'run': 'direct;film;manage;operate', 'studio': 'business;company;facility;film;lot;movie;production;show'}","{'Still': 'Also;Not;still;And;But;Yet;Likely', 'unresolved': 'pending;unclear;stalled;unknown;undecided;ongoing;unfinished;unsolved;intact', 'effort': 'efforts;bid;plan;attempt;plans;ability;move', 'hire': 'get;hired;appoint;enlist;add;bring', 'producers': 'executives;filmmakers;founders;producer;directors;veterans', 'run': 'manage;lead;head;helm', 'studio': 'company;studios;show;Productions;Entertainment;business;Studios;division'}","{'Still': 'also;not;still;and;but;yet;likely', 'unresolved': 'pending;unclear;stalled;unknown;undecided;ongoing;unfinished;unsolved;intact', 'effort': 'effort;bid;plan;attempt;plan;ability;move', 'hire': 'get;hired;appoint;enlist;add;bring', 'producers': 'executive;filmmaker;founder;producer;director;veteran', 'run': 'manage;lead;head;helm', 'studio': 'company;studio;show;production;entertainment;business;studio;division'}"
Sonys planned acquisition of Guber/Peters Entertainment Co. for $200 million is scheduled to close Monday.,Guber/Peters has been locked in litigation with Warner Communications Inc. in an attempt to get out of an exclusive production contract with Warner.,Both sides are in talks to settle the dispute.,"{'locked': 'deadlock;occupy;stick;tie up', 'litigation': 'a civil suit;a lawsuit;argument;battle;court;fight;lawsuit;suit;testimony;trial', 'attempt': 'chance;desire;effort;need;try;want;way;wish', 'get': 'be release;drop;escape;exit;flee;move;pull;sneak;squirm;weasel;wriggle', 'exclusive': 'elite;lone;only;secured;selective;sole;special', 'production': 'creation;fabrication;film;manufacturing;produce;work', 'contract': 'agreement;deal;pact;plan'}","{'locked': 'involved;stuck;Put;embroiled', 'litigation': 'negotiations;lawsuit;lawsuits;court;talks;dispute;arbitration;discussions;disputes;settlements', 'attempt': 'effort;attempted;lawsuit;attempts;alleged;bid;efforts;ad', 'get': 'opt;break;part;move;snap;getting;back;pull;stay;jump;gotten', 'exclusive': 'original;ongoing;joint;alleged;annual;TV;proprietary', 'production': 'distribution;licensing;rights;TV;output;carriage', 'contract': 'deal;agreement;pact;relationship'}","{'locked': 'involved;stuck;put;embroiled', 'litigation': 'negotiation;lawsuit;lawsuit;court;talk;dispute;arbitration;discussion;dispute;settlement', 'attempt': 'effort;attempted;lawsuit;attempt;alleged;bid;effort;ad', 'get': 'opt;break;part;move;snap;getting;back;pull;stay;jump;gotten', 'exclusive': 'original;ongoing;joint;alleged;annual;tv;proprietary', 'production': 'distribution;licensing;right;tv;output;carriage', 'contract': 'deal;agreement;pact;relationship'}"
"Soon, she came back with a lidded ceramic bowl, which she put on the table beside me.","“Roll up your sleeves, she told me.","“Roll up your sleeves,","{'sleeves': 'arm;cuff;shirt;shirtsleeve', 'told': 'command;demand;instruct;say to'}","{'sleeves': 'sleeve;arms;trousers;pants', 'told': 'tell;remind;warned;informed'}","{'sleeves': 'sleeve;arm;trouser;pant', 'told': 'tell;remind;warned;informed'}"
"Spiced air hanging around the cart carried tarragon, rosemary, and scents I couldn’t place.",The thing tending the cart reminded me of the caterpillar from Alice in Wonderland: it had the same opium-dream wise man quality I’d always given the caterpillar.,"Its arms were thin and long enough to reach any herbs from its cushion in the center of the cart, and with its long, many-shouldered pole of a torso, it rose over our heads even while seated.","{'thing': 'creature;object', 'tending': 'attend;behind;care for;manage;mind;minister;operate;serve;work', 'cart': 'bench;bin;stand;vehicle;waggon;wagon', 'reminded': 'prompt;recall;recall to', 'caterpillar': 'bug;character;creature;grub;insect;larva;worm', 'same': 'exact;identical;similar', 'opium-dream': 'drug;drug fog;fantastic;glaze;intoxicate;poppy dream;trip out', 'wise': 'ancient;clever;crafty;cunning;discerning;intelligent;keen;know;sage;sharp;smart', 'man': 'chap;fellow;guy;human;individual;male;mortal;person', 'quality': 'attribute;characteristic;endowment;feature;fineness;trait', 'always': 'consistently;constantly;frequently;long since;often', 'given': 'allow;assign;assign to;associate;attribute to'}","{'thing': 'creature;bird', 'tending': 'around;atop;rocking;surrounding;beside;near;behind;inside;upon', 'cart': 'wagon;table;carts;throne;carriage;chair', 'reminded': 'reminds;remind;reminding', 'caterpillar': 'cater;chair;cat;pup;contra;moth;ater', 'same': 'exact;similar;original', 'opium-dream': 'kind;wit;sweet;sort;old;magical;soft', 'wise': 'ly;wise;ily;like;binding;in;dream;tree;ful;ic;ing', 'man': 'man;ic;like;masculine;gentleman;creature;minded;old', 'quality': 'ine;icism;look;e;ia;itude', 'always': 'originally;ever;long;always;often', 'given': 'called;loved;wanted;named;liked'}","{'thing': 'creature;bird', 'tending': 'around;atop;rocking;surrounding;beside;near;behind;inside;upon', 'cart': 'wagon;table;cart;throne;carriage;chair', 'reminded': 'reminds;remind;reminding', 'caterpillar': 'cater;chair;cat;pup;contra;moth;ater', 'same': 'exact;similar;original', 'opium-dream': 'kind;wit;sweet;sort;old;magical;soft', 'wise': 'ly;wise;ily;like;binding;in;dream;tree;ful;ic;ing', 'man': 'man;ic;like;masculine;gentleman;creature;minded;old', 'quality': 'ine;icism;look;e;ia;itude', 'always': 'originally;ever;long;always;often', 'given': 'called;loved;wanted;named;liked'}"
"Standing in the center of the church, I took out my cell phone and called the police.",“I need to file a missing persons report. …Rachel Frieze.,“I need to file a missing persons report.,"{'need': 'aim;desire;have;mean;want', 'file': 'deliver;disclose;docket;document;enter;fill out;give;place;process;put in;register;submit', 'missing': 'disappear;lose', 'persons': 'individual;people;person', 'report': 'bulletin;claim;complaint;document;for;form;paper;registration'}","{'need': 'needed;want;needs;use;Need', 'file': 'filed;lodge;filing;files;file;File;pen;submit;make;get;se;write', 'missing': 'missing;missed', 'persons': 'people;property;witness', 'report': 'reports;reported;complaint;ticket;kit;call;statement;.'}","{'need': 'needed;want;need;use;need', 'file': 'filed;lodge;filing;file;file;file;pen;submit;make;get;se;write', 'missing': 'missing;missed', 'persons': 'people;property;witness', 'report': 'report;reported;complaint;ticket;kit;call;statement;.'}"
"Step behind the cart and enter through the door there, using your left hand to open the door and your right – ",he looked at me “ – to close it.,“ – to close it.,"{'looked': 'gape;gaze;glance;peer;regard;stare', 'close': 'button;fasten;seal;secure;shut'}","{'looked': 'look;looks;glared;Look;stared;smiled', 'close': 'closed;close;shut;clos;closure'}","{'looked': 'look;look;glared;look;stared;smiled', 'close': 'closed;close;shut;clos;closure'}"
"Stephen Akerfeldt, currently vice president finance, will succeed Mr. McAlpine.",An ambitious expansion has left Magna with excess capacity and a heavy debt load as the automotive industry enters a downturn.,"The company has reported declines in operating profit in each of the past three years, despite steady sales growth.","{'ambitious': 'eager;enterprising;enthusiastic;exuberant;heroic;motivated;obvious;optimistic;vigorous', 'expansion': 'build up;development;enhancement;enlargement;growth;growth project;plan', 'left': 'destine;fate;find;have;hurt;place;position;result in;sit', 'excess': 'additional;an overload;excessive;extra;over;over abundant;surplus;too much', 'capacity': 'ability;capability;inventory;potential;production capability;room;utilization;volume', 'heavy': 'big;burdensome;grave;hefty;huge;large;serious;substantial;weighty', 'debt': 'arrears;financial;indebted;liability;monetary burden;money;owe;owing money', 'load': 'accumulation;amount;burden;toll;weight', 'automotive': 'auto;automobile;car;motor vehicle;vehicle', 'industry': 'business;corporation;field;market;sector;world', 'enters': 'begin;commence;endure;face;go into;head into;start', 'downturn': 'decline;depression;dip;fall;plummet;recession;rut;slump'}","{'ambitious': 'economic;expensive;aggressive;overseas;unprecedented;active;earnings;industry;inventory', 'expansion': 'restructuring;overhaul;turnaround;portfolio;growth;transformation;budget', 'left': 'leaves;provided;left;leaving;leave;found;equipped;blessed;confronted', 'excess': 'surplus;limited;little;tight;scant;ample;shrinking;extra', 'capacity': 'capacities;cash;reserves;liquidity;equipment;funds;credit;flexibility', 'heavy': 'hefty;massive;big;heavier;huge;sizable;manageable;crushing;loaded', 'debt': 'credit;cash;borrowing;finance;asset;financing;financial;loan', 'load': 'burden;pile;load;problem;loads', 'automotive': 'auto;car;aviation;airline;vehicle', 'industry': 'sector;market;business;Age;maker;world', 'enters': 'faces;entered;suffers;hits;suffered;enter;experiences', 'downturn': 'recession;slump;slowdown;trough;contraction;depression;downhill;recovery'}","{'ambitious': 'economic;expensive;aggressive;overseas;unprecedented;active;earnings;industry;inventory', 'expansion': 'restructuring;overhaul;turnaround;portfolio;growth;transformation;budget', 'left': 'leaf;provided;left;leaving;leave;found;equipped;blessed;confronted', 'excess': 'surplus;limited;little;tight;scant;ample;shrinking;extra', 'capacity': 'capacity;cash;reserve;liquidity;equipment;fund;credit;flexibility', 'heavy': 'hefty;massive;big;heavier;huge;sizable;manageable;crushing;loaded', 'debt': 'credit;cash;borrowing;finance;asset;financing;financial;loan', 'load': 'burden;pile;load;problem;load', 'automotive': 'auto;car;aviation;airline;vehicle', 'industry': 'sector;market;business;age;maker;world', 'enters': 'face;entered;suffers;hit;suffered;enter;experience', 'downturn': 'recession;slump;slowdown;trough;contraction;depression;downhill;recovery'}"
"Stepping into the living room, he said, A beautiful house.",A beautiful house.,Im glad you came after dark.,"{'beautiful': 'attractive;delightful;fascinating;gorgeous;great;handsome;lovely;marvelous;pretty;seemly;sightly', 'house': 'abode;building;dwelling;home;pad;place;property;residence;space;structure'}","{'beautiful': 'lovely;beauty;gorgeous;pretty;Beauty;Lady;magnificent;Great;iful;glorious;nice', 'house': 'home;mansion;place;houses;car;house;building;heart;block;Palace'}","{'beautiful': 'lovely;beauty;gorgeous;pretty;beauty;lady;magnificent;great;iful;glorious;nice', 'house': 'home;mansion;place;house;car;house;building;heart;block;palace'}"
"Still in my initial shock, I suddenly noticed qualities of the people that my mind hadn’t registered when we parked.","I saw people with skin stretched so tightly across their cheekbones that the corners had broken through – people whose cheekbones had horns growing from them, and people whose skin was gathered back like a ponytail.","The yellow of this sky wasn’t just smog: it had a leeching, heavy dimness.","{'saw': 'notice;observe;remember;view;witness', 'people': 'being;creature;folk;individual;man;person', 'skin': 'body covering;epidermis;face;flesh', 'stretched': 'extend;pull;spread', 'so': 'extremely;really;very', 'tightly': 'closely;much;taut;tautly;teach', 'cheekbones': 'cheek;face;jaw', 'corners': 'angle;edge;side;vertices', 'broken': 'come;poke;push;rip;rub;split;tear;wear', 'horns': 'bone;point;tusk', 'growing': 'bulge;come;extend;jut;project;protrude', 'gathered': 'collect;draw;garner;pile;pull', 'back': 'behind;pull;taut;up', 'ponytail': 'braid;hairdo'}","{'saw': 'spotted;noticed;seen;see;remembered', 'people': 'faces;humanity;world;humans;person;city', 'skin': 'skins;horns;hair;makeup', 'stretched': 'pressed;pulled;drawn', 'so': 'pretty;enough;together', 'tightly': 'tight;closely;loosely;close;neatly', 'cheekbones': 'cheek;jaw;brow', 'corners': 'skin;lines;planes;horns', 'broken': 'broke;busted;fallen;cut;poked;bitten;punched;come', 'horns': 'hair;hairs;tattoos', 'growing': 'grown;carved;hanging;rising;dripping;grew', 'gathered': 'pulled;pinned;drawn;pressed;folded', 'back': 'together;straight;around;backwards', 'ponytail': 'pony;pig'}","{'saw': 'spotted;noticed;seen;see;remembered', 'people': 'face;humanity;world;human;person;city', 'skin': 'skin;horn;hair;makeup', 'stretched': 'pressed;pulled;drawn', 'so': 'pretty;enough;together', 'tightly': 'tight;closely;loosely;close;neatly', 'cheekbones': 'cheek;jaw;brow', 'corners': 'skin;line;plane;horn', 'broken': 'broke;busted;fallen;cut;poked;bitten;punched;come', 'horns': 'hair;hair;tattoo', 'growing': 'grown;carved;hanging;rising;dripping;grew', 'gathered': 'pulled;pinned;drawn;pressed;folded', 'back': 'together;straight;around;backwards', 'ponytail': 'pony;pig'}"
Still unresolved is Sonys effort to hire producers Jon Peters and Peter Guber to run the studio.,Sonys planned acquisition of Guber/Peters Entertainment Co. for $200 million is scheduled to close Monday.,Guber/Peters has been locked in litigation with Warner Communications Inc. in an attempt to get out of an exclusive production contract with Warner.,"{'planned': 'desire;need;offer;propose;schedule;strategize;wanted', 'acquisition': 'apprehension;buy;gain;ownership;take over;takeover;taking', 'scheduled': 'plan;set;suppose;time', 'close': 'complete;end;finalize;finish'}","{'planned': 'plan;proposed;plans;reported;pending;intended;announced', 'acquisition': 'purchase;takeover;sale;buy;deal;acquire;acquired', 'scheduled': 'set;slated;due;schedule', 'close': 'complete;end;expire;closes'}","{'planned': 'plan;proposed;plan;reported;pending;intended;announced', 'acquisition': 'purchase;takeover;sale;buy;deal;acquire;acquired', 'scheduled': 'set;slated;due;schedule', 'close': 'complete;end;expire;close'}"
Still woozy?,I nodded.,“A little walking should get the stuff into your system.,{'nodded': 'acknowledge;agree;assent;bow;concur;gesture;motion;salute;understand'},{'nodded': 'thought;dunno;see;said;ggy;:;think;say;mean'},{'nodded': 'thought;dunno;see;said;ggy;:;think;say;mean'}
