sentence,target,gold,ls_dropout
"( 2 ) In a civil action under subsection ( a ) of this section , the court , in its discretion , may allow the prevailing party , other than the United States , a reasonable attorney s fee and costs .",reasonable,acceptable;inexpensive;sensible;fair;moderate,reasonable;substantial;substitute;lesser;reasonably;probable;unanimous;healthy;due;petition
But I think we can already see from this and other defenses coming from administration officials that the White House s line on this is filled with clear distortions and misstatements of fact -- most of which are easily identifiable by people who have even a rough understanding of the timing and issues involved .,rough,approximate;general;broad;vague;preliminary,rudimentary;passing;mild;superficial;minimal;limited;shaky;dim;slight;minor
On right there is a steep fall of 10ft. to rough grass between 4th and adjacent fairway .,rough,uncut;uneven;coarse;wild,the;bled;loose;high;soft;steep;outfield;green;field;bad
"The surface of the keyboard is a rough metal ( a wrought iron feel , if you will ) , and two black wooden braces support the frame on either side .",rough,unfinished;coarse;uneven;jagged,bare;wn;cast;black;round;forged;raw;scrap;polished;soft
A very rough way of gauging your so-called preferred weight is to use the Body Mass Index ( BMI ) .,rough,approximate;rudimentary;inexact,poor;simple;useful;crude;basic;good;accurate;effective;early;handy
"NOTE : For the aviation and MRF models , the lifted index field is not broadcast so the showalter index ( a rough equivalent ) is plotted instead .",rough,approximate;rudimentary;inexact,rough;scaled;ized;simplified;ed;raw;ided;ural;coarse;modern
"Rough estimates show that there are between 75,000 and 100,000 professional speakers in the U.S. alone and when you add trainers the number goes up into the millions .",Rough,approximate;simple;inexact,Current;Some;Official;Recent;Other;Early;Various;Conservative;The;official
"He was apparently given a rough ride by the interviewer , Cathal MacCoille .",rough,harsh;tough;demanding;hard;difficult;hard,wild;good;fair;hard;tough;round;bus;little;rocky;shaky
"Next , the piece went to the  smoother  , who went back over all the rough cuts with stone wheels called  craighleiths .",rough,rudimentary;basic;unfinished;crude;irregular;not,stone;high;round;bare;fair;paper;old;hard;tough;four
It was a very poor area and Stanway Street was very overcrowded and rough .,rough,violent;disorderly;unrefined;poor;raucous;uncivil;dangerous,.;uneven;inadequate;abandoned;wn;neglected;crowded;rocky;harsh;used
Col. Berry led again so it was a rough job .,rough,tough;rudimentary;unpleasant;imperfect;difficult,good;big;hard;easy;close;cake;dream;raw;Hard;swell
" While Washington s attention focuses on key congressional races and contests for governor , ballot measures have a direct impact on how U.S. society is run and often presage future national political debates .",run,govern;manage;organise;control,ran;governed;organized;built;shaped;conducted;divided;structured;run;regulated
No one becomes a teacher until after interning in a running school .,running,operate;sprint;working;training;functioning,training;private;vocational;primary;film;grammar;special;medical;boarding;good
It ran six to seven pages single spaced ; the calculation for determining how much the farmers would get paid alone ran several pages .,ran,cover;fill;extend;stretch;last;continue;total,run;took;runs;read;running;averaged;ook;ranged;wrote;edited
Chapters from this book by Paul Collins have run in McSweeney s Quarterly Concern .,run,appear;appear;be;be,published;iled;written;ated;reprinted;appeared;reported;wrote;ublished;Published
" DonÂt be afraid to bring in a professional negotiator , someone to run a meeting , anyone you need to work through the issues,Â Johnson advises .",run,chair;manage;organise;control,handle;take;conduct;manage;lead;monitor;running;administer;vet;make
Anyway here are some static pictures of the boat - it is driven by a brushless motor driving a prop - but when it s running you ca nt see it .,running,operate;go;function;work,operating;working;flying;sailing;driving;gone;active;happening;iding;functioning
"Last year , for example , we ran 2,659 elections in a median time of 40 days. And , 92.5 % of these elections were run within 56 days. This is quite a remarkable record and we are very proud of it .",ran,organise;manage;handle;complete,runs;logged;run;scored;conducted;implemented;scheduled;running;managed;recorded
This is an excellent and important discussion because it runs counter to most of the stock talk of the past generation .,runs,contradict;proceed;flow;go;go,works;ran;run;goes;stands;rings;pays;running;plays;leads
Rumor has it that Apple is just B4 offering a cheap ( $ 500 ) computer that runs the bullet-proof OS-X operating system .,runs,use;execute;operate;include,run;ran;running;lacks;packs;uses;runs;contains;installs;offers
 Why do you run from me ?,run,flee;scurry;avoid;rush;try,ran;hide;want;take;buy;hear;running;get;separate;know
