sentence,target,gold_05,gold_01
"Auburn football players are reminded of last year's losses every time they go into the weight room. T-shirts hanging on the wall are inscribed with the scores of each of the Tigers' five defeats. ""We see that crimson (from the Alabama loss) every day,"" tight end Lorenzo Diamond said, ""and that's a big motivational factor for us.",defeats,,whipping;massacre;rebuff;trouncing;setback;drubbing;thrashing;killing;extermination;annihilation;upset;downthrow;triumph;scalping;whitewashing;whaling;loss;failure;shellacking;debacle;blow;vanquishment;licking;destruction;trashing;insuccess;overthrow;rout;nonsuccess
East is that way.” He pointed at the wall to our right. “Don’t let the sun fool you.,pointed,motion;gesture,imply;put finger on;motion;aim;call attention;direct;gesture;signify;indicate
"U.S. Representative Tony Hall arrived in Jordan on Saturday en route to Iraq, where he is expected to look into the plight of Iraqis after nearly 10 years of U.N. trade sanctions. Hall, an Ohio Democrat and one of very few U.S. congressmen to visit Iraq since the 1991 Gulf War over Kuwait, is scheduled to embark Sunday the 12-hour overland trip to the Iraqi capital, Baghdad. He did not speak to reporters in Jordan, but he told The Associated Press before leaving the United States that he hopes to ""separate the humanitarian work from the political issues.""",trip,voyage;trek;excursion;journey,tour;voyage;travel;trek;excursion;visit;errand;outing;journey;peregrination;expedition;quest
"I didn’t know how they could miss such exotic features, even in that distorting light. I caught a taxi back to the church. It was still a mess, but everything bigger than a soda can had disappeared.",church,parish;house of worship;religious institution;chapel;sanctuary;temple;cathedral;house of god;lords house,religious belief;chantry;mission;parish;house of worship;building;religious institution;oratory;chapel;bethel;congregation;sanctuary;mosque;temple;cathedral;tabernacle;denomination;synagogue;house of god;lords house
"""Those hospitals were not for us. They were for (an expected invasion of Japan). And then the casualties were going to be terrible.""",expected,eventual;forecast;assumed;anticipated;planned;anticipate;impending,eventual;believe strongly;suppose;presuppose;look for;foreknow;think;bargain for;see coming;upcoming;assume;forecast;assumed;anticipated;imagine;presume;suspect;planned;figure;surmise;understand;watch for;await;anticipate;look forward to;impending;predict;for
"Julia Child doesn't have much use for fads and trends -- never has. She never subscribed to cuisine minceur, cholesterol-free cooking, meat-free meal plans, organic food or any of the other politically correct trends of different times -- and that includes restricted diets, in spades. However, an active woman all her life, she is aware of the need to keep ones weight and fitness in mind.",meat,red meat,red meat;flesh of animal consumed as food;grub;subsistence;flesh;brawn;ration;chow
"“Thank you for doing business at our house, and I hope to see you again!” I left not a little unnerved, and still woozy from the leeches. “Come on,” said Nepthys, “you could use a drink.”",leeches,bloodsucker;parasite;blood sucker,insect;bloodsucker;parasite;sponge;blood sucker;bloodletting;blood let
"""The people of Miami and the people of the University of Florida wanted us to have it for a long time, but it wasn't going to happen with the 11-game format."" Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said. ""If you look down the road too far, you get your feet cut out from under you.""",excited,happy;thrill;enthusiastic;eager,stimulate;rouse;amaze;animate;enthuse;inspire;galvanize;delight;happy;electrify;thrill;energize;enthusiastic;eager
"It didn't seem like we had a lot of holes to fill. It's good, it gives us something we didn't have and we didn't lose much."" --It's because of Molina: The Angels felt they could part with Fabregas because of the play of catcher Jose Molina.",gives,"deliver;offer;award;gift;grant;provide;contribute, supply, transfer","accord;afford;render;deliver;offer;bring;bestow;proffer;award;gift;permit;put on;fold up;present;lend;supply;grant;dish out;furnish;allow;endow;apply;manifest;yield;provide;indicate;state;throw;hand down;dispense;will;consign;surrender;part with;contribute, supply, transfer"
"Karnes handed out bunk assignments, choosing the mess officer, Chuck Perry, to share his tent. Karnes had his own Jeep, and went to the beach and to evening movies shown by other units as often as he could. But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th.",went,drive;proceed;head;slip away;take off,get lost;continue;escape;push on;skip out;beat it;come;get away;hightail;move;turn;take leave;drive;run along;proceed;head;carry on;set off;travel;journey;happen;slip away;run away;set;succumb;be adapted for;fly;operate;work out;progress;flourish;run through;take off;depart;conform;hit the road;pass on;flee;hie;split;leave;make a break for it;advance;would go;work towards an end
"""Let me just say that three years ago when we scheduled that game, I was feeling pretty good about it,"" Johnson said. ""They're seasoned, they know how to win and we're going to have to deal with that. They're going to be tough to beat""",know,understand;be familiar with;comprehend,recognize;have knowledge of;have information;grasp;realize;be master of;get the idea;keep up on;understand;discern;be cognizant;associate;be informed;understand information;differentiate;be familiar with;perceive;fathom;comprehend;learn;be versed;see;on top of
"Sony Corp. completed its tender offer for Columbia Pictures Entertainment Inc., with Columbia shareholders tendering 99.3% of all common shares outstanding by the Tuesday deadline. Sony Columbia Acquisition Corp., formed for the Columbia deal, will formally take ownership of the movie studio later this month, a spokesman said. Sony is paying $27 a share, or $3.55 billion, cash and is assuming $1.4 billion of long-term debt.",said,reveal;state;express;convey;report;affirm;mention;declare;say;remark,imply;speak;judge;reveal;state;voice;express;convey;add;tell;report;pronounce;give voice;gab;affirm;mention;make known;verbalize;respond;claim;put into words;reply;communicate;agree;declare;say;recite;repeat;remark;break silence;suggest;divulge;note;disclose;utter;announce;relate
"In its center, under a spearing, white light, was a golden table draped with a blue velvet cloth, on which lay a gray, plum-sized rock. “A marvel, isn’t it?” she said.",marvel,miracle;phenomenon;amazement;wonder,miracle;phenomenon;amazement;wonder;be amazed be;awed
"As long as I looked at it, it didn’t reveal any magic sparkle or glow. Suddenly, what looked like a little kid darted out of an alley and almost ran into me. I almost tripped over him, and the stone went flying out of the pouch.",alley,alleyway;passageway;corridor,back road;alleyway;passageway;side road;corridor;back street;lane;narrow passage;path;pathway
"But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th. Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening. The word spread: ""This is it.",day,date;day,period;generation;date;light of day;morning;daytime;time;working day;light part of every 24 hours astronomical;day
"“It’s a long way to anywhere worth going,” he said. “Would you like some help?”",said,claim;express;pronounce;opine;respond;utter;announce;declare;communicate;report;comment;remark;state;convey,tell;affirm;repeat;recite;make declaration;rap;answer;add;allege;come out with;verbalize;claim;speak;express;pronounce;relate;opine;respond;utter;maintain;mention;announce;declare;suggest;reply;voice;put forth;imply;communicate;report;break silence;comment;deliver;assert;put into words;disclose;cite;remark;give voice;state;orate;make known;reveal;convey
"“No thanks, sir! I’m just fine. Really, don’t worry about me.”",just,completely;actually;simply;solely;perfectly;really;presently;entirely;at this moment;quite,completely;actually;simply;solely;perfectly;really;no more than;absolutely;unmistakably;plainly;presently;entirely;right now;at this moment;nothing but;now;lately;only;exactly;nearly;quite;precisely;merely at
“Only if you stop beginning every sentence with my name.” “You’ve got a deal. Let’s go.”,deal,agreement;arrangement;contract,compromise;accord;agreement;pact;sealed deal;understanding;conception;transaction;arrangement;opportunity;contract;cut and shuffle
"“Don’t do this, kid! It’s a dumb idea. Even if you did find this vampire cat, he’d tear you apart!",idea,suggestion;thought;notion;scheme;concept;plan,theory;suggestion;design;belief;view;impression;perception;feeling;thought;notion;intention;scheme;inkling;concept;judgment;intimation;viewpoint;plan
"Who knows how long he’ll stick around?” “Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!”",man,friend;pal;buddy;bud;sir;guy;mr.,fellow;friend;pal;gentleman;buddy;bud;son;boy;brother;sir;guy;mr.
"“The only place with any significant interaction between our worlds is on the fringes of yours. Love-ins, raves, gatherings where society is put on hold and humans open themselves to emotion: that is where entities from this world tend to go when they cross over, and that is where Rachel met someone from this world. Those of us who live permanently in this world tend to set up in places like this, where the human population is so overwhelming that they won’t be noticed in the right corner, with the right protective spells.”",world,earth;existence;realm,planet;globe;everyone;earth;society;existence;realm;population;creation
"“Ah, I think I’m fine, thanks,” I told him, and turned back to the sidewalk. “Really, I’d like to help. Please, hop in.",Really,truly;unquestionably;without a doubt;surely;actually;as a matter of fact;certainly;undoubtedly;seriously;genuinely;for real;honestly;of course,truly;beyond doubt;unquestionably;absolutely;legitimately;without a doubt;surely;actually;as a matter of fact;assuredly;certainly;literally;undoubtedly;seriously;please;indeed;genuinely;authentically;admittedly;for real;in point of fact;in fact;honestly;well;of course
"In return, Gailhaguet told the FBI on Feb. 23 as the Olympics were taking place, Tokhtakhounov asked for Gailhaguet's help in renewing his French visa, which was about to expire. But when Gailhaguet sought guidance from a French government official, he was told that "" Tokhtakhounov's money is bad,"" the affidavit said. The federal complaint offers many details of the alleged conspiracy, including excerpts from a transcript of the Italian wiretaps.",sought,seek;reach out for;request;ask;search for;ask for;search out;look for;pursue,enlist;dig for;offer;ferret out;seek;petition;aim;want;reach out for;beg;query;fish for;solicit;scout;delve for;explore;entreat;try;request;inquire;ask;track down;search for;ask for;search out;look for;pursue;go after;look about;investigate
"Try to keep in time with me.” We spun around three times, and then something flashed across Nepthys’ hand and he shook a spray of blood onto the dust. The blood flashed into flames as soon as it hit the ground, and I jumped back.",then,suddenly;at that point;at that instant;afterwards;at that time;at that moment,thereupon;suddenly;on that occasion;abruptly;next;from there on;from then on;all at once;thence;at that point;at that instant;unexpectedly;before long;therefore;afterwards;at that time;at another time;hence;quickly;at that moment;consequently
"She cooks that way, and I cook that way."" Denise Hale, social icon and Liza Minnelli's stepmother: ""Julia Child gave to all women one beautiful present: Watching her series you found out you don't have to be perfect."" Francis Ford Coppola, film director: ""I think she's a fascinating woman, and I enjoy very much watching her shows with Jacques Pepin.""",Watching,see;pay attention;look at;follow;view,take notice;see;observe;keep eyes open;be on alert;witness;review;eye;pay attention;take in;view as an audience;inspect;keep an eye on;be watchful;patrol;check out;examine;be on the lookout;keep watch over;enjoy;take heed;scrutinize;look at;keep eyes peeled;look;follow;view
"That would put the B-29s about 1,500 miles from Japan -- a 13-hour round-trip flight. Karnes was deluged with orders for inoculations, equipment, transfers and promotions. Karnes arrived on Tinian on May 18, 1945, as part of an advance team that flew in the five C-54 transport planes of the 509th.",orders,demand;request,directive;hierarchy;placement;ordering;say-so;bidding;distribution;lineup;ordinance;procedure;demand;request;purchase agreement;mandate;description;regulation;instruction;direction;goodness;materials
"Another 15 percent to 18 percent are ""overexploited,"" and 9 percent to 10 percent have been ""depleted or are recovering from depletion."" The seafood industry is less than thrilled about this surge of interest in ocean ecosystems from people who are not scientists. Fisheries management is best left to the experts, said Thor Lassen, president of Ocean Trust, a research and conservation foundation partly financed by the fishing industry.",interest,awareness;attention;enthusiasm;notice;curiosity;attraction;interestedness,pastime;involvement;engrossment;passion;attentiveness;awareness;preoccupation;commitment;regard;attention;enthusiasm;investment;activity;notice;curiosity;benefit;attraction;concern;concernment;inquisitiveness;case;stake;entanglement;percentage;consequence;care;pursuit;interestedness
"Karnes arrived on Tinian on May 18, 1945, as part of an advance team that flew in the five C-54 transport planes of the 509th. On May 29, 1,200 men arrived on the troopship Cape Victory after a five-week trip from Seattle. Tinian Island had been captured from Japan, and the Seabees, the construction arm of the Navy, had built two large airfields.",men,guy;personnel;people;male;gentleman;male human,papa;uncle;grandfather;beau;soldier;son;brother;guy;personnel;people;male;gentleman;sir;male human;husband;boyfriend
"I stood, and one of her servants took me and Amy to the door. I looked back to see Nepthys whispering something to her. He stood to go, but she caught his sleeve and pulled him back for a moment.",looked,glance;glimpse;take a gander;gaze;peer,gawk;study;scan;glower;glance;glimpse;behold;indicate;stare;take a gander;watch;inspect;search;gaze;scout;present;survey;make clear;focus;display;peep;peer;view;feast ones eyes
"Next week marks the 57th anniversary of the atomic bombings. As always, Karnes' mind will drift to memories of his good friend Tibbets, 87, who lives in Columbus, Ohio. Each year on Aug. 6, ""I always think of Paul Tibbets and how he handled unbelievable responsibility,"" Karnes said.",lives,,occupy;reside;roost;make it;subsist;earn a living;settle;inhabit;survive;remain;last;maintain;dwell;make the most of;exist;thrive;stay;abide;move;nest;inhabit a dwelling
"I have completed the invoices for April, May and June and we owe Pasadena each month for a total of $3,615,910.62. I am waiting to hear back from Patti on May and June to make sure they are okay with her. Do you want me to pay Pasadena on Friday for these months or do you want me to hold off until I finish July and August?",sure,certain,definite;unquestionable;unfailing;incontestable;staunch;certain;indisputable;firm;undeniable;decisive;clear;set;assured
"Vandy has big plans By KAREN ROSEN Cox News Service BIRMINGHAM, Ala. -- Since he took the head coaching job at bottom-dwelling Vanderbilt, the question Bobby Johnson is asked most often is not, ""Why will things be different under you?""",big,"massive;sizable;substantial;hefty;vast;colossal;great;huge;significant;big-time;tremendous;considerable;prominent;extensive;major;enormous;important big;large, great ample,","whopping;hulking;a whale of a;major league;proud;noble;spacious;massive;mammoth;thundering;sizable;substantial;capacious;generous;benevolent;immense;princely;hefty;powerful;lofty;bighearted;mature;free;mondo;gigantic;popular;valuable;serious;oversize;copious;full;vast;weighty;heavy-duty;colossal;consequential;eminent;great;greathearted;walloping;huge;considerate;significant;meaningful;super colossal;imposing;momentous;big-time;tremendous;considerable;prominent;imperious;jumbo;monster;boastful;extensive;major;enormous;brimming;chock-full;heavyduty;important big;large, great ample,"
"Subject: RE: City of Pasadena Thanks you so much for working on these as fast as you have - there was a priority in getting them out. However, as you know, the less cash outlay that we have right now the better.",working,,manufacture;toil;labor;plug away;process;take on;hustle;freelance;earn a living;maneuver;contrive;handle;be gainfully employed;carry on;direct;manage;slave;accomplish;make;carry out;execute;do a job;implement;bring about;progress
"She later recanted and said that Canadian officials had pressured her. The ISU later suspended Le Gougne and Gailhaguet for three years. The federal complaint did not describe the possibility of a wider conspiracy or any contact between Tokhtakhounov, or his unnamed co-conspirators, with Le Gougne.",later,afterwards;then;subsequently;thereafter;afterward;ultimately;later on,at another time;afterwards;next;after that;then;subsequently;happening after;thereafter;down the line;succeeding;in time;down the road;afterward;ultimately;after;again;later on;latterly
"He accepts his role with a club and he's a team guy. He's got that reputation and that's important to us, especially a club like ours that is an egoless club."" Ochoa will join the club today in Anaheim before tonight's game against the Yankees.",especially,in particular;particularly;specifically,notably;principally;certainly;in particular;particularly;specifically;mainly;exceptionally;exclusively
"“Marvelous!” cried the woman. “One half-pint of human blood, willingly given, and his fine head of hair for the stone.” She took us downstairs to a small room behind a red silk draping.",stone,rock;hard piece of earths surface,crag;rock;mineral;gravel;jewel;hard piece of earths surface
"In the same vein, Gras is tweaking her salade nicoise, and Jeanminette is adapting her mousse au chocolat to become a spectacular six-layer pecan marjolaine. He could hardly go wrong. When Child was asked some years back what she would order for her last meal, she ended the list with ""something chocolate for dessert.""",wrong,incorrect;mistaken;awry;astray;amiss,on the wrong track;opposite;unlawful;felonious;illicit;ill-advised;immoral;poorly;incorrect;defective;unsound;criminal;corrupt;at fault;misguided;false;mistaken;unfitting;dishonorable;unacceptable;not right;out of order;awkward;badly;improper;rotten;miscalculated;awry;astray;askew;amiss
"Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage. That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage. ""Hostile and even friendly nations routinely steal information from U.S. companies and share it with their own companies,"" said Noel D. Matchett, a former staffer at the federal National Security Agency and now president of Information Security Inc., Silver Spring, Md.",government,powers-that-be;state;governmental;official;administration;authority;adminstrative;the feds,law;ruler;rule;political practice;ministry;powers-that-be;state;regime;municipal;governmental;civic;executive;official;power;administration;bureaucracy;authority;adminstrative;sovereignty;governance;uncle sam;the feds;washington
"At least the barber hadn’t nicked me. Madame Entera took me back up to the stone’s room, where Nepthys was waiting by the door. “Be careful you don’t let him touch it until you’re ready to use it,” the woman admonished Nepthys as she slipped the stone into a grey cloth pouch and handed it to him.",waiting,bide ones time,hang around;hang out;lie in wait;tarry;rest;pause;hold everything;stand by;stall;sweat it;mark time;remain;expect;await;stay up for;cool it;sit up for;anticipate;bide;sit;hold back;keep shirt on;stay;sit tight;stand;delay;linger;bide ones time
"“Nepthys!” said the woman, slithering up across the furs to sit up. As she rose, her robes fell open and I realized that, except for what looked like a red silk kimono, she was naked – naked and stunning.",slithering,wriggle;scoot;slide;crawl;move;glide,wriggle;slip;scoot;slide;crawl;move;glide
"""For me, it's very difficult to be certain that the information which is given to me is real,"" said Eric Ripert, chef at Le Bernardin, a four-star seafood restaurant in Manhattan. ""I don't know. I don't have enough information to know, for example, if Chilean seabass is really disappearing or if it's political pressure.""",know,feel certain;know for sure;understand;have certainty;be familiar with,feel certain;possess assurance;be cognizant;be acquainted with;perceive;cognize;on top of;remember;know for sure;discern;have down pat;understand;be master of;fathom;grasp;have certainty;distinguish;be familiar with;have information;apprehend;be learned;understand information
"The vampire fell forward and blood began to flow from his mouth. Behind me, Amy was kneeling beside Nepthys, whose arm and rib cage were knitting back together like a wooden toy that falls apart when its string is released but draws itself together at a slight tug. I pulled the vial of liquid that he’d been giving me from his pocket and ran to the altar.",apart,,asunder;open;divorced;in piece;alone;distinct;to piece;independently;individually;loose;distant;disassociated
"More shocking was the city of Hiroshima, which was on fire and bubbling like tar. ""We were all appalled,"" the pilot said in his book ""The Tibbets Story."" Back on Tinian, Karnes had gone to bed.",said,state;voice;tell;report;write;assert;remark;divulge;mention;declare;verbalize;communicate;convey;express;claim;reveal;suggest;comment;affirm,state;come out with;disclose;voice;maintain;pronounce;tell;make declaration;cite;report;write;imply;assert;remark;divulge;mention;announce;declare;verbalize;orate;communicate;speak;render;give voice;allege;reply;opine;utter;convey;express;claim;put into words;reveal;put forth;make known;relate;suggest;comment;affirm
"Then I saw the bar on the other side of the crowd and knew where to start looking. I tried to slip along the edge of the crowd. Things with scales and claws kept flailing against me, pressing me into the wall, but I took a breath and kept moving.",tried,attempt;strive;struggle;make an attempt;do ones best,undertake;venture;have a go;work;go for;strain;have a shot;make a pass at;seek;attempt;shoot for;strive;have a whack;aim;check out;labor;make an effort;hear;have a crack;struggle;aspire;lift a finger;have a stab;put to the test;make a bid;contest;make an attempt;try out;risk;endeavor;do ones best
"The United States is seeking his extradition from Italy. The Italian authorities provided the FBI with information from wiretaps of Tokhtakhounov's home telephone, part of an investigation into his criminal activities. The FBI said explicit conversations about the scheme had been recorded between Tokhtakhounov and his conspirators, and between him and Anissina, who was born in Russia and skated for France, and her mother.",provided,give;supply;offer;furnish;prepare;present,fill;bestow;specify;produce;contribute;give;equip;feed;grant;provision;administer;supply;offer;render;accommodate;lend;afford;furnish;replenish;prepare;procure;present;arrange;outfit;serve;impart;bring
"Still, encrypting corporate communications is only a partial remedy. One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies. Moreover, he said, technology now exists for stealing corporate secrets after they've been ""erased"" from a computer's memory.",named,identify;refer to;single out;cite;mention,label;list;define;point to;identify;characterize;specify;refer to;give a title;entitle;classify;peg;single out;tag;pin down;cite;announce;recognize;mention
"“Anyway, long time, man.” “That’s odd. Do you mind if we check it out anyway?",odd,strange;irregular;bizarre;weird;off-thewall;uncommon;atypical;crazy;rare;curious;funny;unusual;freaky;abnormal;out of the ordinary;peculiar;unique,different;strange;fluky;irregular;incidental;over and above;uneven;random;odd-lot;accidental;bizarre;weird;off-thewall;uncommon;atypical;crazy;rare;curious;funny;whimsical;unusual;uncanny;outlandish;offbeat;remarkable;quaint;unconventional;weirdo;freaky;idiosyncratic;kooky;abnormal;freak;out of the ordinary;way out;peculiar;unique
“Thank you.” Nepthys bowed slightly and we walked behind the cart. The latch opened under Nepthys’ left hand with a clack!,slightly,to some degree;somewhat;subtly;hardly at all;a little;hardly;on a small scale;lightly;to some extent,to some degree;faintly;somewhat;marginally;subtly;kind of;hardly at all;a little;inappreciably;hardly noticeable;inconsiderably;hardly;on a small scale;lightly;insignificantly;to some extent;some;scarcely any
"If you would fetch me this stone, I would tell you what I can.” “Of course we will fetch you the stone,” Nepthys assured him. “You have our thanks.”",course,,scope;program;order;a certainty;assuredness;a surety
"""We have alleged no connection between this man with any officials other than with Russian federation officials,"" James B. Comey, the U.S. attorney for the Southern District of New York, said at a news conference. He said that Tokhtakhounov ""reached out to a co-conspirator, somebody connected to the Russian Skating Federation, who did the legwork for him."" Maxwell Miller, Le Gougne's lawyer in Salt Lake City, said no evidence of organized crime influence came up in her suspension hearings before the ISU ""I think this situation vindicates the argument that we've made all along,"" he said.",reached,get in touch;make contact with,get hold of;stretch;come up to;approach;communicate with;keep in contact;get a hold of;arrive at;get;get in touch;seek;check in;get in;lead;influence;look;make it;realize;come to;search;make contact with;extend to;call;keep in touch
"William C. Walbrecher Jr., an executive at San Francisco-based 1st Nationwide Bank, was named president and chief executive officer of Citadel Holding Corp. and its principal operating unit, Fidelity Federal Bank. The appointment takes effect Nov. 13. He succeeds James A. Taylor, who stepped down as chairman, president and chief executive in March for health reasons. Edward L. Kane succeeded Mr. Taylor as chairman.",health,personal;medical;fitness;healthiness;healthfulness,personal;medical;sickness;clean bill;salubriousness;hardiness;fitness;mental wellness;healthiness;healthfulness
"Tibbets instantly liked the isolation and vast size of Wendover and the surrounding Bonneville Salt Flats. And he immediately liked Karnes, who showed him around the base. In Karnes, Tibbets found a kindred spirit -- and a handball partner.",liked,admire;take an interest in,take satisfaction in;fancy;admire;dig;feel fond of;befriend;dote on;love;take an interest in;prefer;be partial to;enjoy;incline toward;appreciate;stuck on;feel inclined care
"She laughed, liquid, alluring, alarming. “Oh, precious! He has lovely manners, Nepthys, despite his poor taste in hats.",precious,dearest;beloved;darling;dear;wonderful;lovely;sweety,adored;precieux;particular;loved;dearest;priceless;artful;invaluable;beloved;affected;darling;dear;wonderful;cherished;treasure;lovely;sweety;sweet;charming;nice;worth ones weight in gold;worth a kings ransom
"We left. Nepthys shook his hands at me like he wanted to wrap them around my neck. “You idiot,” he hissed, “do you know how much you’ve set us back?",shook,jerk,make waves;flap;churn;flitter;shudder;flutter;jolt;dither;tremble;jerk;wave;whip;swing;reel;move
"I didn’t imagine that Nepthys had done it, and it wasn’t without alarm that I ran after him. A black hallway opened into a space like a cathedral. The vault rose into obscurity above me, and a massive rose window stood ahead of me.",cathedral,large church;chapel;church;temple;house of worship;basilica;holy place;sanctuary;house of prayer;place of worship;house of god,large church;chapel;church;ornate building;temple;house of worship;basilica;holy place;sanctuary;house of prayer;place of worship;house of god
"“Wait, Nepthys – you said nothing about vampires. Frankly, I don’t know if we can even doing anything against a vampire. There’s an entire industry in my world based around how unkillable they are.",even,really;actually,indeed;so much as;just;really;still;actually
"A confessional too beaten-up to have been sold was shaking in a way that suggested activity inside, and where the pews had been taken out, a couple hundred people were testifying to the DJ’s moving sermon. Rachel stepped forward into the crowd while I took a moment to drink in the ceiling’s blue-lit, shadowed vault and the light-catching haze from who-knows-what rising between the DJ and the crowd. There was a terrific echo, each beat reverberating inside of the next, and the old stained-glass windows rattled in their frames.",forward,onward;forth;ahead,onward;beforehand;out;along;forth;into view;to the fore;into prominence;up;precedently;vanward;ahead;frontward;toward the front in order;fore;in advance;before
"“Thanks, Dvorov. I owe you one. Let’s go.”",owe,be indebted,in hock;be obligated;be under obligation;be oblige;feel bound;on the tab;oblige;be bound;run up a bill;be in arrears;be in debt;be indebted;debt;have an obligation be
"I need to forecast the money today, so please let me know what you would like to do. FYI-I will be out of the office all next week. Megan",office,workplace;place of business,shop;headquarters;business;work;job;facility;department;agency;building;workplace;place of business;salt mines
"I shook him off and squeezed between two dancing nymphs, getting almost to the edge of the dance floor. Suddenly, Amy screamed. I whirled around and threw up my arm just in time to knock Dvorov away.",Suddenly,without warning;abruptly;unexpectedly;unanticipatedly;instantly;all of a sudden;spontaneously,without warning;abruptly;then;sudden;unexpectedly;unannounced;unanticipatedly;instantly;on spur of moment;all of a sudden;spontaneously;momentarily
"You wouldn't believe half of the shit I've seen, even when I was straight. It was a Friday night. Rachel and I went out to dinner, and when we finished, she saw that there was a message on her cell phone.",night,evening;nightfall;after hours,darkness;midnight;evening;dark;pitch dark;nightfall;nighttide;bedtime;duskiness;after hours;dark hours
"He thought about it, then handed me the pouch. I undid the strings and let the pouch sit on my palm so that I could see the stone inside. It looked like a normal river stone, a gray oval with a white stripe through it.",stone,pebble;rock,pebble;mineral;gem;ore;gravel;stonework;rock;hard piece of earths surface
"Amy smiled at me and let go of my arm, but not before she brought my fingers to her lips and gave them one soft kiss. I stood up and Amy stood with me. “So …back to our garlicky friend?”",stood,get up;rise;jump up,stay;mount;get up;rise;stand beside;jump up;position;erect;do the same;be on feet;be situated;continue;place;be or get upright be
"Someone woke him to say Gen. Hap Arnold, chief of the Army Air Forcesin Washington, was on the phone and asking for him. Arnold told Karnes, ""Tibbets is going to be landing in three to four hours, and I want to give him the Distinguished Service Cross, and it is your job to write up the explanation."" ""I had no idea how you wrote up an award.",give,"extend;entrust;dish out;award;bestow;offer;issue;grant;hand;bestow upon;gift;endow;bequeath;hand over;present;shell out;contribute, supply, transfer","pony up;lavish upon;extend;entrust;impart;hand out;let have;dish out;emit;award;parcel out;transmit;turn over;dispense;do;fall;supply;bestow;offer;lay upon;render;fork over;administer;permit;surrender;confer;demonstrate;give way;broadcast;bend;set forth;issue;provide;grant;hand;bestow upon;deliver;gift;break;announce;endow;pass down;allow;put on;consign;dole out;indicate;ante up;donate;bequeath;direct;lend;remit;hold out;furnish;tender;convey;lease;hand over;present;shell out;bow to;contribute, supply, transfer"
Fools! Get out of my sight now – unless you know how to put it back? …I thought as much.,now,at the moment;at once;right now;right away;pronto;promptly;straightaway;instantly;immediately;like now;here and now;at this moment,at the moment;on the double;at once;nowadays;forthwith;at this time;right now;soon;right away;pronto;promptly;straightaway;instantly;in nothing flat;today;immediately;like now;here and now;these days;at this moment
"The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization. In 1996 the WHO found that much of the population existed in a state of ``semi starvation.'' Hall will be only the second member of Congress to travel in Iraq since the war, according to Hall's office.",existed,survive;live,be;happen;dwell;stand;survive;suffer;lie;be living;reside;live;stay;remain;be present;endure
"Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.” Hands closed on my neck and I felt my spine crack.",lifeless,flat;dull;spiritless;deathly;listless;dead;cold;empty,flat;lethargic;lackluster;dull;spiritless;deaden;spent;not living;brute;draggy;asleep;fading;passive;hollow;defunct;wooden;lusterless;deathly;listless;inanimate;colorless;sluggish;blah;comatose;dead;not containing living things;zero;inert;torpid;monotone;cold;empty
"I dropped the splinters and the broken second stake and raised my hammer, ready to drive the ash spike into his heart. Behind him, I saw Nepthys running between the pews. I braced my legs against the stone floor and he was on me.",running,bolt;scamper;scurry;scramble;move rapidly;sprint;dart;dash;hurry;maneuver;race,bolt;speed;scoot;scamper;scurry;make a break;scramble;tear out;escape;trot;cascade;flee;go around;move rapidly;flow;jog;skedaddle;spurt;sprint;glide;travel;leap;bustle;take off;dart;hustle;move fast on foot;whisk;dash;make tracks;whirl;hurry;maneuver;sail;head;circulate;continue;gush;race;barrel;make off;rush
"He praised IBM for being ""a critical partner in our economic development efforts"" in New York state. In a brief speech, Samuel J. Palmisano, IBM's chief executive, emphasized that it was important to make long-term investments despite the current slump in the technology business. ""To play to win in technology, you innovate and you lead,"" he said.",investments,vested interests,venture;plan;backing;financing;smart money;return;grant;ante;purchase;contribution;investing;interests;vested interests
"She shook her head, rubbing her face into the white fur and murmuring something. “What did you say?” asked Nepthys.",say,claim;state;remark;declare;express;verbalize;proclaim;utter;convey;divulge;mention;speak;communicate,estimate;give voice;suggest;claim;state;remark;put into words;assert;reply;answer;declare;come out with;disclose;express;make declaration;whisper;verbalize;proclaim;utter;pronounce;convey;put forth;orate;divulge;mention;conjecture;recite;respond;speak;communicate;add
"What do you think the time frame is on this? And when would be the earliest that we would make the payment? Thanks, Kim",payment,disbursement,fee;cash;salary;restitution;bill;return;check;pay off;reparation;refund;installment;alimony;pay-off;deposit;sum;premium;invoice;advance;amount;portion;award;installment of fee;disbursement;reckoning;settlement;fund;amends
