sentence,target,gold,ls_concat
"And if no exact  safe equilibrium can be introduced , it is more reasonable that a preponderating weight shd. be allowed to the greater interest than to the lesser .",reasonable,sensible;fair;just;acceptable;tolerable;appropriate,plausible;probable;realistic;legitimate;necessary;rational;appropriate;acceptable;feasible;reasonably
"Besides overseeing the operation of PIPEDA and dealing with complaints , I can conduct audits into organizations  personal information-handling practices , if we have reasonable grounds .",reasonable,adequate;justifiable;credible;sufficient;acceptable;reliable,sufficient;legitimate;reasonably;proper;responsible;sane;lawful;normal;rational;good
The matter of the further evidence may then be heard when the other party has had reasonable opportunity to prepare submissions on the matter .,reasonable,fair;adequate;sufficient;enough,sufficient;reasonably;competent;proper;good;realistic;legitimate;decent;suitable;considerable
"This will allow state-licensed health-care providers to utilize safe , non-FDA approved , alternative therapies that have a reasonable expectation of therapeutic gain if the patient has been fully informed about the treatment .",reasonable,sufficient;fair;good;likely;acceptable;high,realistic;fair;reasonably;legitimate;substantial;healthy;plausible;responsible;sufficient;modest
"( 2 ) In a civil action under subsection ( a ) of this section , the court , in its discretion , may allow the prevailing party , other than the United States , a reasonable attorney s fee and costs .",reasonable,acceptable;inexpensive;sensible;fair;moderate,reasonably;responsible;normal;suitable;substantial;modest;sufficient;rational;necessary;significant
But I think we can already see from this and other defenses coming from administration officials that the White House s line on this is filled with clear distortions and misstatements of fact -- most of which are easily identifiable by people who have even a rough understanding of the timing and issues involved .,rough,approximate;general;broad;vague;preliminary,rudimentary;poor;mild;slight;basic;crude;minimal;faint;modest;firm
On right there is a steep fall of 10ft. to rough grass between 4th and adjacent fairway .,rough,uncut;uneven;coarse;wild,rocky;coarse;harsh;tough;uneven;difficult;poor;firm;soft;hard
"The surface of the keyboard is a rough metal ( a wrought iron feel , if you will ) , and two black wooden braces support the frame on either side .",rough,unfinished;coarse;uneven;jagged,harsh;rocky;coarse;tough;firm;difficult;hard;raw;dark;robust
A very rough way of gauging your so-called preferred weight is to use the Body Mass Index ( BMI ) .,rough,approximate;rudimentary;inexact,poor;tough;fair;harsh;difficult;simple;good;firm;easy;gentle
"NOTE : For the aviation and MRF models , the lifted index field is not broadcast so the showalter index ( a rough equivalent ) is plotted instead .",rough,approximate;rudimentary;inexact,harsh;roughly;hard;soft;poor;close;good;coarse;sharp;tough
"Rough estimates show that there are between 75,000 and 100,000 professional speakers in the U.S. alone and when you add trainers the number goes up into the millions .",Rough,approximate;simple;inexact,Early;Current;Conservative;Most;The;Various;Recent;Official;Initial;Our
"He was apparently given a rough ride by the interviewer , Cathal MacCoille .",rough,harsh;tough;demanding;hard;difficult;hard,rocky;bad;tough;harsh;poor;difficult;fair;grim;wild;good
"Next , the piece went to the  smoother  , who went back over all the rough cuts with stone wheels called  craighleiths .",rough,rudimentary;basic;unfinished;crude;irregular;not,harsh;tough;rocky;hard;difficult;poor;coarse;raw;smoother;sharp
It was a very poor area and Stanway Street was very overcrowded and rough .,rough,violent;disorderly;unrefined;poor;raucous;uncivil;dangerous,poor;harsh;tough;rocky;hard;difficult;bad;dirty;uneven;dangerous
Col. Berry led again so it was a rough job .,rough,tough;rudimentary;unpleasant;imperfect;difficult,tough;difficult;rocky;bad;harsh;poor;fair;tricky;hard;tight
" While Washington s attention focuses on key congressional races and contests for governor , ballot measures have a direct impact on how U.S. society is run and often presage future national political debates .",run,govern;manage;organise;control,built;operated;conducted;organized;managed;structured;planned;governed;led;formed
No one becomes a teacher until after interning in a running school .,running,operate;sprint;working;training;functioning,real;traveling;working;training;runner;racing;starting;reading;regular;new
It ran six to seven pages single spaced ; the calculation for determining how much the farmers would get paid alone ran several pages .,ran,cover;fill;extend;stretch;last;continue;total,went;lasted;took;stretched;ered;carried;broke;dated;operated;worked
Chapters from this book by Paul Collins have run in McSweeney s Quarterly Concern .,run,appear;appear;be;be,gone;published;appeared;come;taken;written;read;printed;aired;lasted
" DonÂt be afraid to bring in a professional negotiator , someone to run a meeting , anyone you need to work through the issues,Â Johnson advises .",run,chair;manage;organise;control,operate;hold;drive;take;handle;start;manage;work;close;host
Anyway here are some static pictures of the boat - it is driven by a brushless motor driving a prop - but when it s running you ca nt see it .,running,operate;go;function;work,moving;driving;flowing;spinning;walking;working;flying;sitting;raining;sailing
"Last year , for example , we ran 2,659 elections in a median time of 40 days. And , 92.5 % of these elections were run within 56 days. This is quite a remarkable record and we are very proud of it .",ran,organise;manage;handle;complete,conducted;operated;registered;went;aired;flew;held;managed;finished;wrote
This is an excellent and important discussion because it runs counter to most of the stock talk of the past generation .,runs,contradict;proceed;flow;go;go,carries;goes;works;plays;stands;breaks;throws;guns;rolls;rails
Rumor has it that Apple is just B4 offering a cheap ( $ 500 ) computer that runs the bullet-proof OS-X operating system .,runs,use;execute;operate;include,uses;operates;carries;works;plays;houses;loves;reads;writes;launches
 Why do you run from me ?,run,flee;scurry;avoid;rush;try,flee;hide;away;go;escape;die;fly;stay;come;take
